id,province,name,Latitude,Longitude,Type,Name_Type,Year
17775,Henan,Hutuo Mosque Management Committee,34.822596,113.254813,5,Islam,1949
17776,Henan,Xiawoxijie Protestant Church,34.787322,113.363382,1,Protestantism,1995
17777,Henan,Beichulou Men's Mosque Democratic Management Committee,34.808192,113.352018,5,Islam,1801
17778,Henan,Gaocun Protestant Church,34.891402,113.375448,1,Protestantism,1994
17779,Henan,Shengjin Mosque Democratic Management Committee  (for Men ),34.810574,113.433692,5,Islam,1995
17780,Henan,Houbaiyang Protestant Church,34.868762,113.261195,1,Protestantism,2004
17781,Henan,Beichulou Mosque Democratic Management Committee,34.808192,113.352018,5,Islam,1800
17782,Henan,Xiaomazhuang Mosque Democratic Management Committee,34.823395,113.361668,5,Islam,1834
17783,Henan,Henggou Protestant Church,34.761141,113.303969,1,Protestantism,1997
17784,Henan,Dongzhanggou Protestant Church,34.892129,113.450377,1,Protestantism,1996
17785,Henan,Xingguosi Protestant Church,34.736413,113.461815,1,Protestantism,1997
17786,Henan,Tiehe Mosque Democratic Management Committee,34.742872,113.39707,5,Islam,1984
17787,Henan,Likezhai Protestant Church,34.800932,113.339155,1,Protestantism,1995
17788,Henan,Zhougusi Protestant Church,34.754155,113.305819,1,Protestantism,1995
17789,Henan,Shangwan Protestant Church,34.651481,113.44539,1,Protestantism,1995
17790,Henan,Shidonggou Protestant Church,34.790767,113.183915,1,Protestantism,1996
17791,Henan,Penyao Protestant Church,34.687667,113.351847,1,Protestantism,1993
17792,Henan,Magou Mosque Democratic Management Committee,34.718294,113.499378,5,Islam,1969
17793,Henan,Bahe Village Mosque Democratic Management Committee,34.742872,113.39707,5,Islam,1995
17794,Henan,Donggou Protestant Church,34.933656,113.49058,1,Protestantism,2001
17795,Henan,Jiazigou Protestant Church,34.700137,113.26828,1,Protestantism,1982
17796,Henan,Gaojing Village Mosque Democratic Management Committee,34.718294,113.499378,5,Islam,1995
17797,Henan,Dahai Temple,34.768561,113.438485,3,Buddhism,2002
17798,Henan,Huaishuwa Protestant Church,34.727015,113.341773,1,Protestantism,1994
17799,Henan,Lulupo Protestant Church,34.672349,113.353861,1,Protestantism,1989
17800,Henan,Xindian Protestant Church,34.857408,113.277917,1,Protestantism,2003
17801,Henan,Jinzhai Central Mosque Management Committee,34.823395,113.361668,5,Islam,1995
17802,Henan,Dongguo Women's Mosque Democratic Management Committee,34.742872,113.39707,5,Islam,1995
17803,Henan,Xingguo Temple Democratic Management Committee,34.736413,113.461815,3,Buddhism,1995
17804,Henan,Xing Village Protestant Church,34.683522,113.486411,1,Protestantism,1995
17805,Henan,Yanqu Mosque Democratic Management Committee  (Men's Mosque),34.810574,113.433692,5,Islam,1846
17806,Henan,Feilongding Daoist Temple Democratic Management Committee,34.916601,113.366902,4,Daoism,1992
17807,Henan,Fanpo Protestant Church,34.658869,113.274218,1,Protestantism,1995
17808,Henan,Sishui Church,34.844055,113.21814,4,Daoism,1985
17809,Henan,Ruzhai Protestant Church,34.796324,113.442302,1,Protestantism,1984
17810,Henan,Shengjin Mosque Minzhu Management Committee  (Women's Mosque),34.810574,113.433692,5,Islam,1995
17811,Henan,Dongda Village Protestant Church,34.85587,113.34756,1,Protestantism,1994
17812,Henan,Sima Protestant Church,34.869804,113.3509,1,Protestantism,1994
17813,Henan,Laochengbeijie Protestant Church,34.7963,113.411,1,Protestantism,1994
17814,Henan,Guangwu Protestant Church,34.892129,113.450377,1,Protestantism,1995
17815,Henan,Hushan Daoist Temple Democratic Management Committee,34.684819,113.286252,4,Daoism,1995
17816,Henan,Nidian Protestant Church,34.869605,113.408247,1,Protestantism,2004
17817,Henan,Zhen Village Mosque Management Committee,34.85587,113.34756,5,Islam,1994
17818,Henan,Jiayujie Protestant Church,34.779705,113.378773,1,Protestantism,1995
17819,Henan,Longquan Temple,34.827783,113.18455,3,Buddhism,1995
17820,Henan,Magou East Mosque Democratic Management Committee,34.718294,113.499378,5,Islam,1995
17821,Henan,Xiaomazhuang Women's Mosque Democratic Management Committee,34.823395,113.361668,5,Islam,1892
17822,Henan,Yuhuang Temple Management Committee,34.844449,113.411437,4,Daoism,2001
17823,Henan,Fenshuiling Protestant Church,34.708638,113.304876,1,Protestantism,1996
17824,Henan,Nandong Protestant Church,34.841677,113.477735,1,Protestantism,1995
17825,Henan,Beichulou Women's Mosque Democratic Management Committee,34.808192,113.352018,5,Islam,1837
17826,Henan,Jinzhai Mosque Management Committee,34.823395,113.361668,5,Islam,1846
17827,Henan,Jihe Protestant Church,34.865555,113.44951,1,Protestantism,1995
17828,Henan,Xingyang City Protestant Association,34.78896,113.37568,10,Protestantism,1986
17829,Henan,Beichulou West Women's Mosque Minzhu Management Committee,34.808192,113.352018,5,Islam,1984
17830,Henan,Zhuchuan Protestant Church,34.782048,113.244886,1,Protestantism,1995
17831,Henan,Qiaolou Protestant Church,34.742872,113.39707,1,Protestantism,1996
17832,Henan,Yuncheng Temple,34.851467,113.451385,3,Buddhism,1993
17833,Henan,Gaohe Protestant Church,34.67039,113.42343,1,Protestantism,1978
17834,Henan,Dongguo Mosque Minzhu Management Committee (Men's Mosque),34.742872,113.39707,5,Islam,1995
17835,Henan,Suzhai Protestant Church,34.829528,113.39209,1,Protestantism,1993
17836,Henan,Chenputou Protestant Church,34.916601,113.366902,1,Protestantism,1995
17837,Henan,Jinzhai Women's Mosque Management Committee,34.823395,113.361668,5,Islam,1851
17838,Henan,Ding Village Protestant Church,34.898458,113.315079,1,Protestantism,1999
17839,Henan,Yanqu Mosque Democratic Management Committee  (Women's Mosque),34.810574,113.433692,5,Islam,1950
17840,Henan,Magou Women's Mosque Democratic Management Committee,34.718294,113.499378,5,Islam,1995
17841,Henan,Taoli Protestant Church,34.755314,113.327343,1,Protestantism,1995
17842,Henan,Youfang Protestant Church,34.703533,113.436304,1,Protestantism,1994
17843,Henan,Donglin Temple,34.676316,113.493628,3,Buddhism,2002
17844,Henan,Fatang Mosque Democratic Management Committee,34.687667,113.351847,5,Islam,1987
17845,Henan,Jiayu Town Catholic Church Democratic Management Committee,34.67344,113.450664,2,Catholicism,1992
17846,Henan,Shuanghuai Catholic Church Democratic Management Committee,34.885388,113.471397,2,Catholicism,1997
17847,Henan,Junfo Temple,34.846275,113.425538,3,Buddhism,2003
17848,Henan,Youfang Catholic Church Democratic Management Committee,34.902534,113.355475,2,Catholicism,1995
17849,Henan,Shuanglouguo Protestant Church,34.707288,113.483914,1,Protestantism,1996
17850,Henan,Laocheng Mosque Democratic Management Committee,34.786759,113.364208,5,Islam,2001
17851,Henan,Xiaomagou Mosque Democratic Management Committee,34.718294,113.499378,5,Islam,1995
17852,Henan,Xingang Protestant Church,34.720527,113.428807,1,Protestantism,1995
17853,Henan,Zhaigou Protestant Church,34.57844,113.529507,1,Protestantism,1991
17854,Henan,Huigou Mosque Democratic Management Committee,34.465982,113.345691,5,Islam,1995
17855,Henan,Nanquan Buddhist Temple Democratic Management Group,34.399616,113.495505,3,Buddhism,2003
17856,Henan,Yin Village Protestant Church,34.564314,113.452825,1,Protestantism,1995
17857,Henan,Yangtai Protestant Church,34.436885,113.350402,1,Protestantism,1998
17858,Henan,Liuzhai Town Protestant Association,34.485204,113.546792,10,Protestantism,1991
17859,Henan,Tianzhongwan Protestant Church Democratic Management Group,34.596687,113.211687,1,Protestantism,1998
17860,Henan,Heiyugou Protestant Church,34.598449,113.456864,1,Protestantism,1994
