,Latitude,Longitude,Name_Type,province
110,27.23348,111.325101,Islam,Hunan
111,27.122631,111.369018,Islam,Hunan
112,26.990787,111.091793,Daoism,Hunan
113,27.214701,111.241483,Islam,Hunan
114,26.995194,111.27061,Islam,Hunan
115,27.23348,111.325101,Islam,Hunan
116,27.214701,111.241483,Islam,Hunan
117,27.23348,111.325101,Islam,Hunan
118,26.966849,111.26416299999998,Islam,Hunan
119,26.802738,111.146831,Daoism,Hunan
120,27.170586,110.986675,Daoism,Hunan
121,27.069104,111.01821899999999,Islam,Hunan
122,27.109285999999997,111.03218500000001,Islam,Hunan
123,27.068102000000003,111.004827,Islam,Hunan
124,27.0577,111.010407,Islam,Hunan
125,27.113978000000003,111.03243799999998,Daoism,Hunan
126,27.514206,110.75071499999999,Daoism,Hunan
