province,Latitude,Longitude
Yunnan,24.464825,102.993802
Yunnan,24.225677,103.100618
Yunnan,24.885277,102.244237
Yunnan,24.797338,102.219831
Yunnan,24.807551,102.224563
Yunnan,24.169723,102.418521
Yunnan,24.155801,102.461994
Yunnan,24.169723,102.418521
Yunnan,24.163011,102.409309
Yunnan,24.161,102.4163
Yunnan,24.144653,102.454999
Yunnan,24.144653,102.454999
Yunnan,24.16206,102.41405
Yunnan,25.098593,99.169457
Yunnan,25.089953,99.152117
Yunnan,25.118748,99.172791
Yunnan,25.109974,99.157463
Yunnan,24.728366,99.196151
Yunnan,24.716731,99.167839
Yunnan,25.387584,98.435967
Yunnan,25.020617,98.490002
Yunnan,25.022363,98.490515
Yunnan,25.017364,98.504107
Yunnan,24.893451,98.361964
Yunnan,24.893451,98.361964
Yunnan,24.893451,98.361964
Yunnan,24.824929,99.639253
Yunnan,24.454932,99.591512
Yunnan,24.85184,99.613188
Yunnan,27.262383,103.747792
Yunnan,27.297598,103.734168
Yunnan,27.225647,103.759825
Yunnan,27.260648,103.748811
Yunnan,27.415453,103.759204
Yunnan,27.3346,103.7166
Yunnan,27.527474,103.735392
Yunnan,27.601713,103.718025
Yunnan,27.194759,103.707702
Yunnan,27.191998,103.709733
Yunnan,27.455196,103.353333
Yunnan,27.24835,103.669586
Yunnan,27.33643,103.72075
Yunnan,27.303372,103.601869
Yunnan,27.194759,103.707702
Yunnan,27.194759,103.707702
Yunnan,27.307652,103.698793
Yunnan,27.600577,103.77174
Yunnan,27.232789,103.668873
Yunnan,27.332442,103.7043
Yunnan,27.318916,103.766293
Yunnan,27.189146,103.671571
Yunnan,27.344495,103.659435
Yunnan,27.20773,103.715079
Yunnan,27.595018,103.898811
Yunnan,27.333166,103.818864
Yunnan,27.344293,103.812562
Yunnan,27.297598,103.734168
Yunnan,27.527474,103.735392
Yunnan,27.262383,103.747792
Yunnan,27.194759,103.707702
Yunnan,27.246974,103.632902
Yunnan,27.332442,103.7043
Yunnan,27.262753,103.754777
Yunnan,27.262383,103.747792
Yunnan,27.413101,103.78006
Yunnan,27.52464,103.713817
Yunnan,27.320075,103.706539
Yunnan,27.343434,103.308663
Yunnan,27.194759,103.707702
Yunnan,27.262383,103.747792
Yunnan,27.220189,103.66677
Yunnan,27.482341,103.51026
Yunnan,27.198379,103.665706
Yunnan,27.274152,103.746734
Yunnan,27.270065,103.763378
Yunnan,27.262383,103.747792
Yunnan,27.234611,103.645822
Yunnan,27.344293,103.812562
Yunnan,27.27055,103.770896
Yunnan,27.194759,103.707702
Yunnan,27.33445,103.71643
Yunnan,27.3436,103.8127
Yunnan,27.23619,103.707849
Yunnan,27.358541,103.862297
Yunnan,27.397497,103.729631
Yunnan,27.342262,103.717442
Yunnan,27.156155,103.682486
Yunnan,27.24909,103.669708
Yunnan,27.246974,103.632902
Yunnan,27.332442,103.7043
Yunnan,27.262383,103.747792
Yunnan,27.277767,103.58078
Yunnan,27.3346,103.7166
Yunnan,27.368923,103.673735
Yunnan,27.199077,103.706665
Yunnan,27.337157,103.735108
Yunnan,27.527474,103.735392
Yunnan,27.344293,103.812562
Yunnan,27.332442,103.7043
Yunnan,27.194759,103.707702
Yunnan,27.33357,103.721055
Yunnan,27.310083,103.740246
Yunnan,27.3669,103.5282
Yunnan,27.344293,103.812562
Yunnan,27.399988,103.639256
Yunnan,27.194759,103.707702
Yunnan,27.194759,103.707702
Yunnan,27.194759,103.707702
Yunnan,27.246801,103.75299
Yunnan,27.344293,103.812562
Yunnan,27.47965,103.687825
Yunnan,27.332442,103.7043
Yunnan,27.293501,103.774711
Yunnan,27.329207,103.817922
Yunnan,27.595202,103.727413
Yunnan,27.281375,103.779496
Yunnan,27.562486,103.754913
Yunnan,27.305778,103.785081
Yunnan,27.427781,103.618203
Yunnan,26.99496,103.573478
Yunnan,27.193395,103.549535
Yunnan,28.379554,104.205228
Yunnan,28.242571,104.173672
Yunnan,28.034735,104.121852
Yunnan,27.771371,103.739109
Yunnan,28.1743,103.995451
Yunnan,27.70159,103.755423
Yunnan,27.644085,103.775656
Yunnan,27.671966,103.76638
Yunnan,27.670278,103.875902
Yunnan,27.644085,103.775656
Yunnan,27.6464,103.775
Yunnan,27.75354,103.89302
Yunnan,27.7609,103.8849
Yunnan,28.1743,103.995451
Yunnan,27.7483,103.8929
Yunnan,27.771371,103.739109
Yunnan,27.644085,103.775656
Yunnan,27.748863,103.891193
Yunnan,27.752044,103.891829
Yunnan,28.1743,103.995451
Yunnan,27.70159,103.755423
Yunnan,27.6437,103.776
Yunnan,27.771371,103.739109
Yunnan,28.1743,103.995451
Yunnan,27.811032,103.591962
Yunnan,28.597858,103.945019
Yunnan,28.59825,103.95856
Yunnan,27.508345,104.031451
Yunnan,27.5427,104.254854
Yunnan,27.35801,104.066821
Yunnan,27.70247,104.060959
Yunnan,27.564224,104.277123
Yunnan,27.5427,104.254854
Yunnan,27.564725,104.207657
Yunnan,27.470604,104.058457
Yunnan,27.487956,104.349165
Yunnan,27.628062,104.050893
Yunnan,27.487956,104.349165
Yunnan,27.525196,103.961687
Yunnan,27.402012,104.128448
Yunnan,27.330986,104.153718
Yunnan,27.5427,104.254854
Yunnan,27.662045,104.13292
Yunnan,27.420092,104.28211
Yunnan,27.609344,104.031276
Yunnan,27.461509,104.132832
Yunnan,27.515242,104.161914
Yunnan,27.563895,104.207708
Yunnan,27.446638,104.004677
Yunnan,27.548011,103.979005
Yunnan,27.628062,104.050893
Yunnan,27.508345,104.031451
Yunnan,27.49045,104.039503
Yunnan,27.360416,104.122071
Yunnan,27.470604,104.058457
Yunnan,27.374146,104.262454
Yunnan,27.466873,104.045909
Yunnan,27.417597,104.07941
Yunnan,27.428461,104.181528
Yunnan,27.382335,104.124352
Yunnan,27.583393,103.983619
Yunnan,27.487956,104.349165
Yunnan,27.46017,104.085413
Yunnan,27.628062,104.050893
Yunnan,27.870622,104.880482
Yunnan,27.840447,105.048325
Yunnan,28.022629,105.055141
Yunnan,26.688934,100.748856
Yunnan,26.820043,100.647239
Yunnan,26.59371,101.203604
Yunnan,26.574745,101.276153
Yunnan,26.629429,101.264074
Yunnan,22.780513,101.04938
Yunnan,22.741169,101.054352
Yunnan,22.6078,101.417
Yunnan,22.745873,101.041439
Yunnan,22.741169,101.054352
Yunnan,22.741169,101.054352
Yunnan,22.6373,101.1667
Yunnan,22.741169,101.054352
Yunnan,22.741169,101.054352
Yunnan,22.741169,101.054352
Yunnan,22.7193,101.0659
Yunnan,22.741169,101.054352
Yunnan,22.6373,101.1667
Yunnan,22.787323,100.976621
Yunnan,22.741169,101.054352
Yunnan,22.741169,101.054352
Yunnan,22.718027,101.33713
Yunnan,22.775536,100.973903
Yunnan,22.787323,100.976621
Yunnan,22.6517,101.0968
Yunnan,22.6078,101.417
Yunnan,22.718027,101.33713
Yunnan,22.741169,101.054352
Yunnan,22.745873,101.041439
Yunnan,22.718027,101.33713
Yunnan,22.686174,101.063492
Yunnan,22.741169,101.054352
Yunnan,22.6078,101.417
Yunnan,22.741169,101.054352
Yunnan,22.787323,100.976621
Yunnan,22.775536,100.973903
Yunnan,22.741169,101.054352
Yunnan,22.741169,101.054352
Yunnan,22.741169,101.054352
Yunnan,22.718027,101.33713
Yunnan,22.718027,101.33713
Yunnan,22.83257,101.396666
Yunnan,23.075636,101.061352
Yunnan,22.961967,101.065136
Yunnan,23.019079,101.342333
Yunnan,23.060341,101.244264
Yunnan,23.421715,101.193149
Yunnan,23.109344,101.085351
Yunnan,22.892521,101.257962
Yunnan,23.109344,101.085351
Yunnan,23.056526,101.045809
Yunnan,23.431894,101.692461
Yunnan,23.4343,101.6961
Yunnan,24.457575,100.580673
Yunnan,24.637997,100.484573
Yunnan,24.637997,100.484573
Yunnan,23.490354,100.707905
Yunnan,22.612849,101.968136
Yunnan,22.612849,101.968136
Yunnan,22.694151,101.374245
